ClaimKey,DeliverableID,Class,Disposition,CauseTag,AuthorityTier,BaselineClass,DivergenceLayers,OtherCorrections,Basis,Source
DEL-12-03:SOW#CLM-011/TEL-REQ-003,DEL-12-03,OBSERVED,,,,,,F-3 pattern (CP-11): explicit human/security approval of the event allowlist before collection is ALIGNED but no collection exists,"Verifier out-of-sample observation, same pattern as firm errors, not counted",PKG-12_VERIFICATION.md §4 Out-of-sample
DEL-12-04:SOW#CLM-011.r01,DEL-12-04,OBSERVED,,,,,,"Reverse ledger: RC-12-0362 (CAP-SHELL-038, local rule-pack store) answered NOT_MINE; a COVERS DEL-12-04:SOW#CLM-011.r01 is missing (coverage, not ownership)",Verifier reverse-pass suspected missed claim; parallel library store RC-12-0177 answered COVERS,PKG-12_VERIFICATION.md §6 Suspected missed claims
DEL-12-01:CONTEXT#architecture-basis-injection.s01,DEL-12-01,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-12_VERIFICATION.md §5 (Shared-situation conflict)
DEL-12-02:CONTEXT#architecture-basis-injection.s01,DEL-12-02,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-12_VERIFICATION.md §5 (Shared-situation conflict)
DEL-12-03:CONTEXT#architecture-basis-injection.s01,DEL-12-03,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-12_VERIFICATION.md §5 (Shared-situation conflict)
DEL-12-04:CONTEXT#architecture-basis-injection.s01,DEL-12-04,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-12_VERIFICATION.md §5 (Shared-situation conflict)
DEL-12-05:CONTEXT#architecture-basis-injection.s01,DEL-12-05,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-12_VERIFICATION.md §5 (Shared-situation conflict)
DEL-13-01:SOW#CLM-005.r05,DEL-13-01,FIRM,IMPLEMENTED_DIFFERENTLY,POSSIBLE_DEFECT,PROJECT_BASELINE,NONE,BASELINE,"AuthorityNeeded REVIEW; RemainingWork: add force_per_length to Quantity.dimension and to the test set, or derive the test set from units.schema.yaml; verifier: ""LOCAL_DESIGN · NO is also defensible if Agent 0 treats the enum as a plain catch-up""; DECLARED_STATE row, not in false-alignment rate",C6(b) (declared state false: enum lacks force_per_length present in PKG-02 DimensionId; test compares against a local copy); follows worker's classification of REQ-13-01-006,PKG-13_VERIFICATION.md §4.1 F1; §5 C2
DEL-13-03:SOW#CLM-005.r04,DEL-13-03,WEAK,PARTIALLY_IMPLEMENTED,PARTIAL_SLICE,LOCAL_DESIGN,NONE,RECORD,"AuthorityNeeded NO; right values stated only ""under the F7 and C6(a) reading"" (claim is about paths); on the engine reading (engine is itself a domain-core path) the sealed ALIGNED holds; desktop labels are static display values, not a bypass",F7 and C6(a): no product or adapter path consumes constraints through the engine; DesignWorkspacePanel.tsx:204-209 and lib.rs:1895 carry constraint status without the engine (weak),PKG-13_VERIFICATION.md §4.1 W2
DEL-13-01:MEMORY,DEL-13-01,FIELD,,,,,,"Add a MEMORY.s01 · DECLARED_STATE · ALIGNED row for the undated ""Remaining TBDs"" list; disposition of MEMORY unaffected",C1 (undated current declaration inside a history surface is DECLARED_STATE); same vehicle point as PKG-06 F1 and C3,PKG-13_VERIFICATION.md §4.1 D1
DEL-13-01:SOW#CLM-009/REQ-13-01-011,DEL-13-01,FIELD,,,,,,"VerificationEvidence core/product_preview/service.py (implementation, not a test) with VerificationClass UNIT -> apps/desktop/src/services/previewService.test.ts (line 431 asserts the load_design_knowledge invoke) with the GATE token, or NONE_FOUND",Disposition IMPLEMENTED_DIFFERENTLY · POSSIBLE_DEFECT · INVARIANT · VALIDATION · OWNER confirmed; evidence field wrong,PKG-13_VERIFICATION.md §4.1 D2
DEL-13-03:SOW#CLM-004.r05,DEL-13-03,CONTESTED,,,,,,cause POSSIBLE_DEFECT vs AUTHORITY_UNCLEAR; Agent 0 settles corpus-wide,DEC-009 Python-core departure (FG-DEL-13-03-01); sealed IMPLEMENTED_DIFFERENTLY · POSSIBLE_DEFECT · PROJECT_BASELINE · NONE · BASELINE · OWNER vs DEL-14-04/DEL-17-07 AUTHORITY_UNCLEAR · RECORD;BASELINE; tier and routing agree; cause and layers differ,PKG-13_VERIFICATION.md §5 C1
DEL-13-03:CONTEXT#architecture-basis-injection.s03,DEL-13-03,CONTESTED,,,,,,cause POSSIBLE_DEFECT vs AUTHORITY_UNCLEAR; Agent 0 settles corpus-wide,DEC-009 Python-core departure (FG-DEL-13-03-01); sealed IMPLEMENTED_DIFFERENTLY · POSSIBLE_DEFECT · PROJECT_BASELINE · NONE · BASELINE · OWNER vs DEL-14-04/DEL-17-07 AUTHORITY_UNCLEAR · RECORD;BASELINE; tier and routing agree; cause and layers differ,PKG-13_VERIFICATION.md §5 C1
DEL-13-04:SOW#CLM-014.s01,DEL-13-04,CONTESTED,,,,,,cause POSSIBLE_DEFECT vs AUTHORITY_UNCLEAR; Agent 0 settles corpus-wide,DEC-009 Python-core departure (FG-DEL-13-04-01); sealed IMPLEMENTED_DIFFERENTLY · POSSIBLE_DEFECT · PROJECT_BASELINE · NONE · BASELINE · OWNER vs DEL-14-04/DEL-17-07 AUTHORITY_UNCLEAR · RECORD;BASELINE; tier and routing agree; cause and layers differ,PKG-13_VERIFICATION.md §5 C1
DEL-13-04:CONTEXT#architecture-basis-injection.s03,DEL-13-04,CONTESTED,,,,,,cause POSSIBLE_DEFECT vs AUTHORITY_UNCLEAR; Agent 0 settles corpus-wide,DEC-009 Python-core departure (FG-DEL-13-04-01); sealed IMPLEMENTED_DIFFERENTLY · POSSIBLE_DEFECT · PROJECT_BASELINE · NONE · BASELINE · OWNER vs DEL-14-04/DEL-17-07 AUTHORITY_UNCLEAR · RECORD;BASELINE; tier and routing agree; cause and layers differ,PKG-13_VERIFICATION.md §5 C1
DEL-13-01:CONTEXT#architecture-basis-injection.s01,DEL-13-01,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-13_VERIFICATION.md §5 (SH rows consistent); forward ledger scan
DEL-13-03:CONTEXT#architecture-basis-injection.s01,DEL-13-03,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-13_VERIFICATION.md §5 (SH rows consistent); forward ledger scan
DEL-13-04:CONTEXT#architecture-basis-injection.s01,DEL-13-04,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-13_VERIFICATION.md §5 (SH rows consistent); forward ledger scan
DEL-15-04:SOW#purpose-and-objective-traceability/OUT-001,DEL-15-04,WEAK,PARTIALLY_IMPLEMENTED,PARTIAL_SLICE,LOCAL_DESIGN,NONE,RECORD,"Verifier's preferred values; FindingGroup FG-DEL-15-04-03; AuthorityNeeded NO (consistent with CLM-012.r01); two readings survive: ""handoff or comparison links"" as alternatives (met, ALIGNED) vs naming both kinds (F1 applies); neither changes owner routing","F1 (row records an unmet element, no comparison-link kind, in its own Notes; ""judged on the posture rows"" is the reasoning F1 rejects); conventions do not settle the reading (weak)",PKG-15_VERIFICATION.md §4.1 W1
DEL-15-03:SOW#completion-and-reliance-basis-epistemology/AC-001,DEL-15-03,FIELD,,,,,,"AuthorityTier PROJECT_BASELINE -> INVARIANT; owner routing unchanged (already AuthorityNeeded OWNER, FG-DEL-15-03-02)","F8 (AC-001 lists units among preserved contents; redacted output fails content preservation incl. units_manifest values, test L406); worker applied this reading to CLM-005 and CLM-025",PKG-15_VERIFICATION.md §4.1 F1
DEL-15-04:SOW#completion-and-reliance-basis-epistemology/AC-001,DEL-15-04,CONTESTED,,,,,,"Weak, outside the sample: as a pure restriction (""no acceptance except external"") ALIGNED holds; read as CP-11 reads R7, PARTIALLY_IMPLEMENTED · DEFERRED_BY_RULING · INVARIANT · CLAIMS in FG-DEL-15-04-02 (BaselineClass not stated); verifier: worker's own R7 treatment points to the second reading; ""AC-001 should probably follow it""","CP-11 as applied by the worker on R7 and CLM-012.r03 (external human-owned hash-bound acceptance deferred by DEC-081); outside the sample, not counted",PKG-15_VERIFICATION.md §4.2; §7 item 5
DEL-15-03:SOW#CLM-011/DEL-15-03-REQ-002,DEL-15-03,FIELD,,,,,,"AuthorityTier PROJECT_BASELINE -> INVARIANT (lists units manifest or unit preservation among preserved contents); verifier wrote ""REQ-002"", resolved to the sole matching key","F8, same reason as §4.1 F1 (like REQ-004 and CLM-005); outside the sample, not counted",PKG-15_VERIFICATION.md §4.2; §5 (Finding-group tiers)
DEL-15-03:SOW#CLM-006.r04,DEL-15-03,FIELD,,,,,,AuthorityTier PROJECT_BASELINE -> INVARIANT (lists units manifest or unit preservation among preserved contents),"F8, same reason as §4.1 F1 (like REQ-004 and CLM-005); outside the sample, not counted",PKG-15_VERIFICATION.md §4.2; §5 (Finding-group tiers)
DEL-15-03:SOW#CLM-019,DEL-15-03,FIELD,,,,,,AuthorityTier PROJECT_BASELINE -> INVARIANT (lists units manifest or unit preservation among preserved contents),"F8, same reason as §4.1 F1 (like REQ-004 and CLM-005); outside the sample, not counted",PKG-15_VERIFICATION.md §4.2; §5 (Finding-group tiers)
DEL-15-01:CONTEXT#architecture-basis-injection.s01,DEL-15-01,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-15_VERIFICATION.md §5 (CS-04 .s01 PKG-00 SEMANTIC_READY split); forward ledger scan
DEL-15-03:CONTEXT#architecture-basis-injection.s01,DEL-15-03,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-15_VERIFICATION.md §5 (CS-04 .s01 PKG-00 SEMANTIC_READY split); forward ledger scan
DEL-15-04:CONTEXT#architecture-basis-injection.s01,DEL-15-04,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-15_VERIFICATION.md §5 (CS-04 .s01 PKG-00 SEMANTIC_READY split); forward ledger scan
DEL-11-03:SOW#CLM-014.r20,DEL-11-03,FIRM,DOCUMENTED_UNIMPLEMENTED,NOT_STARTED,LOCAL_DESIGN,NONE,RECORD,"CanonicalSituation CP-11; AuthorityNeeded NO (as REQ-11-03-08); verifier: if R3 or owner reads conditional ""if used"" permissions as aligned, REQ-11-03-08 and CLM-028 move instead; the ledger cannot keep both readings",CP-11 and C6(a): permission holds only because no examples exist; same ledger disposes REQ-11-03-08 and CLM-028 DOCUMENTED_UNIMPLEMENTED · NOT_STARTED for the same rule; firm false alignment,PKG-11_VERIFICATION.md §4 F-1
DEL-11-04:CONTEXT#architecture-basis-injection.s02,DEL-11-04,FIRM,STALE_SETUP_SPECIFICATION,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,"AuthorityNeeded NO; summary and RemainingWork too narrow: refresh the list for the solver library (DEC-023), the grammar (DEC-022) and the package/container (DEC-028; SCA-003, AB-00-04); no tier or routing change","F3 origin test: ""Still TBD"" line byte-identical across the five PKG-11 _CONTEXT.md files, origin 7bee9ae41; not a revision pin, review/readiness state or metadata; G1 (DEL-11-01/02/03) assigns the same class",PKG-11_VERIFICATION.md §4 F-2; §5
DEL-11-05:CONTEXT#architecture-basis-injection.s02,DEL-11-05,FIRM,STALE_SETUP_SPECIFICATION,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,"AuthorityNeeded NO; summary and RemainingWork too narrow: refresh the list for the solver library (DEC-023), the grammar (DEC-022) and the package/container (DEC-028; SCA-003, AB-00-04); no tier or routing change","F3 origin test: ""Still TBD"" line byte-identical across the five PKG-11 _CONTEXT.md files, origin 7bee9ae41; not a revision pin, review/readiness state or metadata; G1 (DEL-11-01/02/03) assigns the same class; same text and error as F-2",PKG-11_VERIFICATION.md §4 F-3; §5
DEL-11-02:SOW#CLM-018.r01,DEL-11-02,CONTESTED,,,,,,"Weak, no right values stated. Candidate reading: literal requirement names a DEL-11-02 brief; guide edits 1b32c8096 (2026-06-22, DAG pointer) and 8143645ea (2026-09-18, SWBPIPE Tranche A1) were programme-level edits not under a DEL-11-02 brief; alternative reading (own authorized scope satisfies it) keeps ALIGNED; at the least Notes should list every edit","Weak: conventions do not settle which reading of ""a sealed brief and explicit write scope"" applies",PKG-11_VERIFICATION.md §4 W-1
DEL-11-04:SOW#CLM-011/R-DEL-11-04-002,DEL-11-04,CONTESTED,,,,,,"Weak, no right values stated. Sealed PARTIALLY_IMPLEMENTED · PARTIAL_SLICE · INVARIANT · NONE · CLAIMS defensible as requirement stands; candidate if overtaken by DEC-081/DEC-107 authoring directive: stale requirement, cause SCOPE_REDIRECTED_BY_RULING, tier PROJECT_BASELINE (stale class, BaselineClass and layers not stated); AuthorityNeeded field error recorded separately (D-2); owner reading needed (§7 item 2)",Claims-language question (docs/claims_registry.md §4 vs DEC-081 Wave 2 8fac6631a keeping the row) not settled by the conventions,PKG-11_VERIFICATION.md §4 W-2; §7 item 2
DEL-11-05:SOW#CLM-025,DEL-11-05,CONTESTED,,,,,,"Weak, no right values stated. Candidate reading (strict): First-Hour Path step 1 links removed ../../INIT.md (removed 9c4caf8fd, 2026-07-04), an unmet element of ""predictable""; same ledger disposes REQ-11-05-01 and CLM-028 PARTIALLY_IMPLEMENTED for this dead link; steps 2-10 sound",Weak: row's Notes do not record the gap so F1 is not engaged; purpose largely holds,PKG-11_VERIFICATION.md §4 W-3
DEL-11-01:SOW#CLM-007,DEL-11-01,FIELD,,,,,,"RemainingWork proposes replacing INIT.md with init/init-prompt.md, which does not exist at the freeze (init/ holds only dev-loop-init-prompt.md and taskmgmt-init-prompt.md); name a path that exists",Disposition stands; RemainingWork names a non-existent path,PKG-11_VERIFICATION.md §4 D-1
DEL-11-04:SOW#CLM-011/R-DEL-11-04-002,DEL-11-04,FIELD,,,,,,AuthorityNeeded NO -> OWNER,"Part D definition: RemainingWork offers two courses of action, so a choice is needed",PKG-11_VERIFICATION.md §4 D-2; W-2
DEL-11-03:SOW#CLM-004.r01,DEL-11-03,FIRM,PARTIALLY_IMPLEMENTED,PARTIAL_SLICE,LOCAL_DESIGN,NONE,RECORD,As CLM-010.s02; worker flagged it itself; would make package false-align rate 2/51 = 3.9% if counted,"F1 (Notes defer detailed lineage to TBD-public-history, judged on CLM-010.s02 PARTIALLY_IMPLEMENTED); outside the sample, not counted",PKG-11_VERIFICATION.md §3; §4 Out-of-sample
DEL-11-01:SOW#CLM-005.r02,DEL-11-01,OBSERVED,,,,,,Paired with CLM-011/UG-REQ-005: both source-basis cells cite removed INIT.md; this row non-aligned (CP-02 with F3 departure) while UG-REQ-005 ALIGNED; DEL-11-03 handles the pattern as ALIGNED with GAP_WORDING_CHECKED; error runs toward non-alignment,"Verifier out-of-sample observation (worker self-flagged); not decided, not counted",PKG-11_VERIFICATION.md §4 Out-of-sample
DEL-11-01:SOW#CLM-011/UG-REQ-005,DEL-11-01,OBSERVED,,,,,,Paired with CLM-005.r02: both source-basis cells cite removed INIT.md; this row ALIGNED while CLM-005.r02 non-aligned; inconsistent treatment of one pattern,"Verifier out-of-sample observation (worker self-flagged); not decided, not counted",PKG-11_VERIFICATION.md §4 Out-of-sample
DEL-11-03:SOW#CLM-027,DEL-11-03,OBSERVED,,,,,,"Trade-offs block includes ""invented examples"" and is ALIGNED assessed as a whole; may carry the same CP-11 element as F-1; read with F-1","Verifier out-of-sample observation; not decided, not counted",PKG-11_VERIFICATION.md §4 Out-of-sample
DEL-11-02:SOW,DEL-11-02,OBSERVED,,,,,,"Developer guide names DEC-022 grammar identifier open_pipe_stress_declared_expression (active in core/rules/expression_evaluator/src/lib.rs and schemas/rule_pack.schema.yaml); appears not recorded in DEL-11-02's ledger (SOW surface note says only the guide carries SWBPIPE); R4 code-change candidate, not a deliverable edit; key resolved from verifier's ""SOW surface note""","Owner R0 addendum (active code identifiers are residue); not a CP-04-named identifier; out of sample, for R3 clustering",PKG-11_VERIFICATION.md §7 item 3
DEL-11-01:CONTEXT#architecture-basis-injection.s01,DEL-11-01,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-11_VERIFICATION.md §5 (.s01 PKG-00 SEMANTIC_READY consistent); forward ledger scan
DEL-11-02:CONTEXT#architecture-basis-injection.s01,DEL-11-02,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-11_VERIFICATION.md §5 (.s01 PKG-00 SEMANTIC_READY consistent); forward ledger scan
DEL-11-03:CONTEXT#architecture-basis-injection.s01,DEL-11-03,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-11_VERIFICATION.md §5 (.s01 PKG-00 SEMANTIC_READY consistent); forward ledger scan
DEL-11-04:CONTEXT#architecture-basis-injection.s01,DEL-11-04,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-11_VERIFICATION.md §5 (.s01 PKG-00 SEMANTIC_READY consistent); forward ledger scan
DEL-11-05:CONTEXT#architecture-basis-injection.s01,DEL-11-05,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-11_VERIFICATION.md §5 (.s01 PKG-00 SEMANTIC_READY consistent); forward ledger scan
DEL-14-02:SOW#CLM-024,DEL-14-02,CONTESTED,,,,,,F1 reach on CONTEXT purpose rows; Agent 0 decides once,"Weak: F1 reading gives PARTIALLY_IMPLEMENTED · PARTIAL_SLICE · PROJECT_BASELINE · NONE · BASELINE · FG-DEL-14-02-02 (empty rule_pack_refs/library_refs; OUT-001 PARTIALLY_IMPLEMENTED for the same element); row typed CONTEXT; if F1 reaches it, firm in a 100% class with tier change",PKG-14_VERIFICATION.md §4.1
DEL-14-01:SOW#CLM-024,DEL-14-01,CONTESTED,,,,,,F1 reach on CONTEXT purpose rows; Agent 0 decides once,"Weak: F1 reading gives PARTIALLY_IMPLEMENTED · PARTIAL_SLICE · PROJECT_BASELINE · NONE · BASELINE · FG-DEL-14-01-02 (Notes carry product saving on CLM-011.r01, PARTIALLY_IMPLEMENTED, no product save path); row typed CONTEXT",PKG-14_VERIFICATION.md §4.1
DEL-14-03:CONTEXT#architecture-basis-injection.s03,DEL-14-03,CONTESTED,,,,,,DEC-009 cluster: cause/tier/routing split; Agent 0 settles corpus-wide,"DEC-009 Python-core departure (core/comparison/model_state/engine.py, no Rust counterpart); sealed PARTIALLY_IMPLEMENTED · PARTIAL_SLICE · PROJECT_BASELINE · NONE · BASELINE · AuthorityNeeded NO; verifier reading C6(d) IMPLEMENTED_DIFFERENTLY (PARTIAL_SLICE/NO understates the owner question) but weak; asks to fold into cluster",PKG-14_VERIFICATION.md §4.2; §5
DEL-14-03:SOW#CLM-006,DEL-14-03,CONTESTED,,,,,,DEC-009 cluster: cause/tier/routing split; Agent 0 settles corpus-wide,DEC-009 Python-core departure; sealed PARTIALLY_IMPLEMENTED · PARTIAL_SLICE · PROJECT_BASELINE · NONE · BASELINE · AuthorityNeeded NO; verifier reading C6(d) IMPLEMENTED_DIFFERENTLY but weak; asks to fold into cluster,PKG-14_VERIFICATION.md §4.2; §5
DEL-14-04:CONTEXT#architecture-basis-injection.s02,DEL-14-04,CONTESTED,,,,,,DEC-009 cluster: cause/tier/routing split; Agent 0 settles corpus-wide,"DEC-009 Python-core departure; sealed IMPLEMENTED_DIFFERENTLY · AUTHORITY_UNCLEAR · PROJECT_BASELINE · NONE · RECORD;BASELINE · OWNER; verifier: AUTHORITY_UNCLEAR doubtful (DEC-009 not silent), other packages used POSSIBLE_DEFECT",PKG-14_VERIFICATION.md §4.2; §5
DEL-14-04:SOW#CLM-004.r07,DEL-14-04,CONTESTED,,,,,,DEC-009 cluster: cause/tier/routing split; Agent 0 settles corpus-wide,DEC-009 Python-core departure; sealed IMPLEMENTED_DIFFERENTLY · AUTHORITY_UNCLEAR · PROJECT_BASELINE · NONE · RECORD;BASELINE · OWNER; verifier: AUTHORITY_UNCLEAR doubtful,PKG-14_VERIFICATION.md §4.2; §5
DEL-14-01:SOW#CLM-005,DEL-14-01,CONTESTED,,,,,,DEC-009 cluster: cause/tier/routing split; Agent 0 settles corpus-wide,"DEC-009 Python-core fact recorded in Notes only; row disposition carried by the JCS gap (sealed PARTIALLY_IMPLEMENTED · PARTIAL_SLICE · PROJECT_BASELINE · NONE · BASELINE;RECORD, verifier agrees on JCS)",PKG-14_VERIFICATION.md §4.2; §3; §5
DEL-14-05:SOW#CLM-026.s01,DEL-14-05,CONTESTED,,,,,,"Weak, right values not fully stated: ""disposition can stand for the CSV-column and JSON-flag parts"" (sealed STALE_SETUP_SPECIFICATION · DOC_BEHIND_CODE · LOCAL_DESIGN · NONE · RECORD · NO); RemainingWork should exclude the unmatched classification values or cite FG-DEL-14-05-03 so R3 does not repair by text edit what the owner has yet to confirm",Weak: split between two causes on one sub-claim not settled by the conventions; owner routing already carried by FG-03 rows (CP-10),PKG-14_VERIFICATION.md §4.3
DEL-14-05:SOW,DEL-14-05,FIELD,,,,,,"RemainingWork names only CLM-012; add the former product name in the schema $id (https://openpipestress.org/schemas/comparison_{mapping,tolerance}.schema.json) and both titles, as DEL-14-01:SOW does for its schema $id and title","CP-04 (active code identifiers the deliverable names are residue); outside the sample, not counted",PKG-14_VERIFICATION.md §4.4
DEL-14-01:CONTEXT#architecture-basis-injection.s01,DEL-14-01,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-14_VERIFICATION.md §5 (SR-1 SEMANTIC_READY sub-claim); forward ledger scan
DEL-14-02:CONTEXT#architecture-basis-injection.s01,DEL-14-02,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-14_VERIFICATION.md §5 (SR-1 SEMANTIC_READY sub-claim); forward ledger scan
DEL-14-03:CONTEXT#architecture-basis-injection.s01,DEL-14-03,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,RECORD_DRIFT,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-14_VERIFICATION.md §5 (SR-1 SEMANTIC_READY sub-claim); forward ledger scan
DEL-14-04:CONTEXT#architecture-basis-injection.s01,DEL-14-04,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-14_VERIFICATION.md §5 (SR-1 SEMANTIC_READY sub-claim); forward ledger scan
DEL-14-05:CONTEXT#architecture-basis-injection.s01,DEL-14-05,OWNER_CONFIRMED,STALE_REVIEW_OR_EVIDENCE,SCOPE_REDIRECTED_BY_RULING,LOCAL_DESIGN,NONE,RECORD,CauseTag in cluster SR-1 for R3,"F3 exception, owner-confirmed (Direction 8)",PKG-14_VERIFICATION.md §5 (SR-1 SEMANTIC_READY sub-claim); forward ledger scan
DEL-17-01:CONTEXT#architecture-basis-injection,DEL-17-01,RESOLVED_PAIR,STALE_REVIEW_OR_EVIDENCE,BASIS_POINTER_STALE,LOCAL_DESIGN,NONE,RECORD,"AuthorityNeeded NO; sealed row already holds these values; no DEC-009 .sNN (documentation-only, Rust clause does not diverge)","§5: body e8db53739ad57c63 three-way split (G1 CP-02, G2 ALIGNED, G3 IMPLEMENTED_DIFFERENTLY); main row takes CP-02 values on all 8; injected amendment list (SCA-003/SCA-004) behind SOFTWARE_DECOMP L706 ""as amended through SCA-008""; verifier: this CP-02 row is right; record all 8 in RESOLUTIONS.csv",PKG-17_VERIFICATION.md §5; §4 W-1b
DEL-17-02:CONTEXT#architecture-basis-injection,DEL-17-02,RESOLVED_PAIR,STALE_REVIEW_OR_EVIDENCE,BASIS_POINTER_STALE,LOCAL_DESIGN,NONE,RECORD,"AuthorityNeeded NO; sealed row already holds these values; no DEC-009 .sNN (contract-only, DEC-076, Rust clause does not diverge)","§5: body e8db53739ad57c63 three-way split (G1 CP-02, G2 ALIGNED, G3 IMPLEMENTED_DIFFERENTLY); main row takes CP-02 values on all 8; injected amendment list (SCA-003/SCA-004) behind SOFTWARE_DECOMP L706 ""as amended through SCA-008""; verifier: this CP-02 row is right; record all 8 in RESOLUTIONS.csv",PKG-17_VERIFICATION.md §5; §4 W-1b
DEL-17-03:CONTEXT#architecture-basis-injection,DEL-17-03,WEAK,STALE_REVIEW_OR_EVIDENCE,BASIS_POINTER_STALE,LOCAL_DESIGN,NONE,RECORD,"AuthorityNeeded NO; main row unchanged (already CP-02); add a DEC-009 .sNN on this ABI row: IMPLEMENTED_DIFFERENTLY · PROJECT_BASELINE · NONE · RECORD;BASELINE · OWNER; cause (POSSIBLE_DEFECT or AUTHORITY_UNCLEAR) follows Agent 0 corpus-wide DEC-009 settlement (W-1b: ships Python core/handoff code, DEC-009 sets Rust core); JCS element on AC-001 already correct","§5: body e8db53739ad57c63 three-way split (G1 CP-02, G2 ALIGNED, G3 IMPLEMENTED_DIFFERENTLY); main row takes CP-02 values on all 8; injected amendment list (SCA-003/SCA-004) behind SOFTWARE_DECOMP L706 ""as amended through SCA-008""; W-1b weak: no DEC-009 finding anywhere in this ledger",PKG-17_VERIFICATION.md §4 W-1b; §5
